Type,Event_ID,Sport,Before,After
+ added,COM-2026-0845,Archery,,14:00
+ added,COM-2026-0846,Archery,,14:00
+ added,COM-2026-0847,Archery,,9:30:
+ added,COM-2026-0848,Archery,,9:30:
+ added,COM-2026-0849,Archery,,14:00
+ added,COM-2026-0850,Archery,,14:00
+ added,COM-2026-0851,Archery,,9:30:
+ added,COM-2026-0852,Archery,,9:30:
+ added,COM-2026-0853,Archery,,9:30:
+ added,COM-2026-0854,Archery,,14:00
- dropped,COM-2026-0438,Archery,10:00:00,
- dropped,COM-2026-0441,Archery,9:30:00,
- dropped,COM-2026-0442,Archery,9:30:00,
- dropped,COM-2026-0443,Archery,14:00:00,
~ time,COM-2026-0494,Swimming,17:48:00,17:00
~ time,COM-2026-0495,Swimming,17:12:00,17:00
~ time,COM-2026-0496,Swimming,17:36:00,17:00
~ time,COM-2026-0498,Swimming,17:24:00,17:00
~ time,COM-2026-0499,Swimming,17:24:00,17:00
~ time,COM-2026-0500,Swimming,17:48:00,17:00
~ time,COM-2026-0502,Swimming,17:12:00,17:00
~ time,COM-2026-0503,Swimming,17:36:00,17:00
~ time,COM-2026-0504,Swimming,17:36:00,17:00
~ time,COM-2026-0506,Swimming,17:12:00,17:00
~ time,COM-2026-0507,Swimming,17:48:00,17:00
~ time,COM-2026-0508,Swimming,18:00:00,17:00
~ time,COM-2026-0509,Swimming,17:24:00,17:00
~ time,COM-2026-0510,Swimming,17:12:00,17:00
~ time,COM-2026-0511,Swimming,17:48:00,17:00
~ time,COM-2026-0513,Swimming,17:24:00,17:00
~ time,COM-2026-0514,Swimming,17:36:00,17:00
~ phase,COM-2026-0494,Swimming,Heats,Event 1
~ phase,COM-2026-0495,Swimming,Heats,Event 2
~ phase,COM-2026-0496,Swimming,Heats,Event 3
~ phase,COM-2026-0497,Swimming,Heats,Event 4
~ phase,COM-2026-0498,Swimming,Heats,Event 5
~ phase,COM-2026-0499,Swimming,Heats,Event 6
~ phase,COM-2026-0500,Swimming,Heats,Event 7
~ phase,COM-2026-0501,Swimming,Heats,Event 8
~ phase,COM-2026-0502,Swimming,Heats,Event 9
~ phase,COM-2026-0503,Swimming,Heats,Event 10
~ phase,COM-2026-0504,Swimming,Heats,Event 11
~ phase,COM-2026-0505,Swimming,Heats,Event 12
~ phase,COM-2026-0506,Swimming,Heats,Event 13
~ phase,COM-2026-0507,Swimming,Heats,Event 14
~ phase,COM-2026-0508,Swimming,Heats,Event 14
~ phase,COM-2026-0509,Swimming,Heats,Event 15
~ phase,COM-2026-0510,Swimming,Heats,Event 16
~ phase,COM-2026-0511,Swimming,Heats,Event 17
~ phase,COM-2026-0512,Swimming,Heats,Event 18
~ phase,COM-2026-0513,Swimming,Heats,Event 19
~ phase,COM-2026-0514,Swimming,Heats,Event 20
