Type,Event_ID,Sport,Before,After
- dropped,COM-2026-0560,Taekwondo,17:00:00,
~ time,COM-2026-0191,Billiards,11:00:00,10:00
~ time,COM-2026-0193,Billiards,12:30:00,11:30
~ time,COM-2026-0194,Billiards,13:30:00,11:30
~ time,COM-2026-0195,Billiards,14:30:00,11:30
~ time,COM-2026-0197,Billiards,14:00:00,13:00
~ time,COM-2026-0198,Billiards,15:00:00,13:00
~ time,COM-2026-0199,Billiards,16:00:00,13:00
~ time,COM-2026-0202,Billiards,17:00:00,16:00
~ time,COM-2026-0204,Billiards,19:00:00,18:00
~ time,COM-2026-0209,Billiards,11:00:00,10:00
~ time,COM-2026-0213,Billiards,18:30:00,17:00
~ time,COM-2026-0218,Billiards,11:30:00,10:00
~ time,COM-2026-0221,Billiards,16:00:00,15:00
~ time,COM-2026-0223,Billiards,18:00:00,17:00
~ time,COM-2026-0224,Billiards,19:00:00,17:00
~ time,COM-2026-0225,Billiards,20:00:00,17:00
~ time,COM-2026-0227,Billiards,20:00:00,19:00
~ time,COM-2026-0228,Billiards,21:00:00,19:00
~ time,COM-2026-0229,Billiards,22:00:00,19:00
~ time,COM-2026-0233,Billiards,14:00:00,13:00
~ time,COM-2026-0235,Billiards,16:00:00,15:00
~ time,COM-2026-0237,Billiards,18:00:00,17:00
~ time,COM-2026-0242,Snooker,15:00:00,13:00
~ time,COM-2026-0243,Snooker,17:00:00,13:00
~ time,COM-2026-0244,Snooker,19:00:00,13:00
~ time,COM-2026-0246,Snooker,17:00:00,15:00
~ time,COM-2026-0247,Snooker,19:00:00,15:00
~ time,COM-2026-0248,Snooker,21:00:00,15:00
~ time,COM-2026-0250,Snooker,19:00:00,17:00
~ time,COM-2026-0251,Snooker,21:00:00,17:00
~ time,COM-2026-0252,Snooker,23:00:00,17:00
~ time,COM-2026-0261,Snooker,12:00:00,10:00
~ time,COM-2026-0262,Snooker,14:00:00,10:00
~ time,COM-2026-0263,Snooker,16:00:00,10:00
~ time,COM-2026-0265,Snooker,15:00:00,13:00
~ time,COM-2026-0266,Snooker,17:00:00,13:00
~ time,COM-2026-0267,Snooker,19:00:00,13:00
~ time,COM-2026-0269,Snooker,17:00:00,15:00
